Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,linear,linear,none,odd,True,390,0.596862327095,0.514605897937,0.641612831017,0.597334946861
False,none,none,linear,linear,none,odd,True,400,0.596862327095,0.48068354224,0.579779682303,0.557190194996
False,none,none,linear,linear,none,odd,True,410,0.596862327095,0.326399508699,0.47976926793,0.512022945661
False,none,none,linear,linear,none,odd,True,420,0.596862327095,0.195365663167,0.362802136577,0.437687220083
False,none,none,linear,linear,even,none,False,350,0.616531612573,0.544903053679,0.622782631247,0.588686567545
False,none,none,linear,linear,even,none,False,360,0.616531612573,0.544402951482,0.628552840263,0.58974882201
False,none,none,linear,linear,even,none,False,370,0.616531612573,0.562818423735,0.632046550499,0.599000084547
False,none,none,linear,linear,even,none,False,380,0.616531612573,0.559421476797,0.647043043368,0.616100404451
False,none,none,linear,linear,even,none,False,390,0.616531612573,0.514496239559,0.637187603247,0.607727055337
False,none,none,linear,linear,even,none,False,400,0.616531612573,0.484936960052,0.576770743017,0.566889304469
False,none,none,linear,linear,even,none,False,410,0.616531612573,0.332105407434,0.477996098548,0.519317254943
False,none,none,linear,linear,even,none,False,420,0.616531612573,0.202027662327,0.362379931549,0.445013787363
False,none,none,linear,linear,even,none,True,350,0.602464950415,0.551011980813,0.631650358767,0.586234703723
False,none,none,linear,linear,even,none,True,360,0.602464950415,0.550671947988,0.637239356695,0.586801166928
False,none,none,linear,linear,even,none,True,370,0.602464950415,0.570043892517,0.640428090308,0.595396383734
False,none,none,linear,linear,even,none,True,380,0.602464950415,0.566727403657,0.655422960977,0.611815667403
False,none,none,linear,linear,even,none,True,390,0.602464950415,0.517742383437,0.644753548449,0.602464229396
False,none,none,linear,linear,even,none,True,400,0.602464950415,0.483702460131,0.582462046719,0.561813590895
False,none,none,linear,linear,even,none,True,410,0.602464950415,0.328754791149,0.481732907879,0.515935974208
False,none,none,linear,linear,even,none,True,420,0.602464950415,0.197616160493,0.36437042139,0.440867304399
False,none,none,linear,linear,even,even,False,350,0.62533709305,0.542825179831,0.620805443842,0.591426941645
False,none,none,linear,linear,even,even,False,360,0.62533709305,0.542376172318,0.626558822147,0.592503179793
False,none,none,linear,linear,even,even,False,370,0.62533709305,0.560695488673,0.630003882306,0.60176134475
False,none,none,linear,linear,even,even,False,380,0.62533709305,0.557343082366,0.644845121759,0.618848809542
False,none,none,linear,linear,even,even,False,390,0.62533709305,0.512567002456,0.63489044041,0.610296701804
False,none,none,linear,linear,even,even,False,400,0.62533709305,0.483182155902,0.57461154322,0.569179140944
False,none,none,linear,linear,even,even,False,410,0.62533709305,0.330926221267,0.475893016051,0.521118258158
False,none,none,linear,linear,even,even,False,420,0.62533709305,0.201698387332,0.360638451374,0.446335251896
False,none,none,linear,linear,even,even,True,350,0.611089484211,0.548907748765,0.629645598967,0.588963703346
False,none,none,linear,linear,even,even,True,360,0.611089484211,0.548617089476,0.6352194079,0.58954323595
False,none,none,linear,linear,even,even,True,370,0.611089484211,0.567889482976,0.638359567795,0.598141140626
False,none,none,linear,linear,even,even,True,380,0.611089484211,0.564618056082,0.653197518433,0.614543573825
False,none,none,linear,linear,even,even,True,390,0.611089484211,0.515795593255,0.642430194903,0.605009690417
False,none,none,linear,linear,even,even,True,400,0.611089484211,0.48195179321,0.580285146507,0.564080744037
False,none,none,linear,linear,even,even,True,410,0.611089484211,0.327586168567,0.47961698597,0.517723266378
False,none,none,linear,linear,even,even,True,420,0.611089484211,0.197301425691,0.362625851481,0.442177195754
False,none,none,linear,linear,even,odd,False,350,0.610804758156,0.541629960576,0.61943898726,0.583262073658
False,none,none,linear,linear,even,odd,False,360,0.610804758156,0.54126108137,0.625396772081,0.584514101405
False,none,none,linear,linear,even,odd,False,370,0.610804758156,0.559485633404,0.628757654649,0.593639553917
False,none,none,linear,linear,even,odd,False,380,0.610804758156,0.556047249943,0.643744688223,0.610669184387
False,none,none,linear,linear,even,odd,False,390,0.610804758156,0.511381082816,0.634094759478,0.602560973062
False,none,none,linear,linear,even,odd,False,400,0.610804758156,0.481916699939,0.574127144833,0.562232268473
False,none,none,linear,linear,even,odd,False,410,0.610804758156,0.329733800211,0.476060964498,0.515387595939
False,none,none,linear,linear,even,odd,False,420,0.610804758156,0.199746494782,0.360836096399,0.441813735234
False,none,none,linear,linear,even,odd,True,350,0.596862327095,0.547694360021,0.628249037321,0.580822857791
False,none,none,linear,linear,even,odd,True,360,0.596862327095,0.547488427837,0.634028485374,0.581581436393
False,none,none,linear,linear,even,odd,True,370,0.596862327095,0.566663108887,0.637084724714,0.590058417646
False,none,none,linear,linear,even,odd,True,380,0.596862327095,0.563304581417,0.652070605185,0.606413406374
False,none,none,linear,linear,even,odd,True,390,0.596862327095,0.514605897937,0.641612831017,0.597334946861
False,none,none,linear,linear,even,odd,True,400,0.596862327095,0.48068354224,0.579779682303,0.557190194996
False,none,none,linear,linear,even,odd,True,410,0.596862327095,0.326399508699,0.47976926793,0.512022945661
False,none,none,linear,linear,even,odd,True,420,0.596862327095,0.195365663167,0.362802136577,0.437687220083
False,none,none,linear,linear,odd,none,False,350,0.616531612573,0.544903053679,0.622782631247,0.588686567545
False,none,none,linear,linear,odd,none,False,360,0.616531612573,0.544402951482,0.628552840263,0.58974882201
False,none,none,linear,linear,odd,none,False,370,0.616531612573,0.562818423735,0.632046550499,0.599000084547
False,none,none,linear,linear,odd,none,False,380,0.616531612573,0.559421476797,0.647043043368,0.616100404451
False,none,none,linear,linear,odd,none,False,390,0.616531612573,0.514496239559,0.637187603247,0.607727055337
False,none,none,linear,linear,odd,none,False,400,0.616531612573,0.484936960052,0.576770743017,0.566889304469
False,none,none,linear,linear,odd,none,False,410,0.616531612573,0.332105407434,0.477996098548,0.519317254943
False,none,none,linear,linear,odd,none,False,420,0.616531612573,0.202027662327,0.362379931549,0.445013787363
False,none,none,linear,linear,odd,none,True,350,0.602464950415,0.551011980813,0.631650358767,0.586234703723
False,none,none,linear,linear,odd,none,True,360,0.602464950415,0.550671947988,0.637239356695,0.586801166928
False,none,none,linear,linear,odd,none,True,370,0.602464950415,0.570043892517,0.640428090308,0.595396383734
False,none,none,linear,linear,odd,none,True,380,0.602464950415,0.566727403657,0.655422960977,0.611815667403
False,none,none,linear,linear,odd,none,True,390,0.602464950415,0.517742383437,0.644753548449,0.602464229396
False,none,none,linear,linear,odd,none,True,400,0.602464950415,0.483702460131,0.582462046719,0.561813590895
False,none,none,linear,linear,odd,none,True,410,0.602464950415,0.328754791149,0.481732907879,0.515935974208
False,none,none,linear,linear,odd,none,True,420,0.602464950415,0.197616160493,0.36437042139,0.440867304399
False,none,none,linear,linear,odd,even,False,350,0.62533709305,0.542825179831,0.620805443842,0.591426941645
False,none,none,linear,linear,odd,even,False,360,0.62533709305,0.542376172318,0.626558822147,0.592503179793
False,none,none,linear,linear,odd,even,False,370,0.62533709305,0.560695488673,0.630003882306,0.60176134475
False,none,none,linear,linear,odd,even,False,380,0.62533709305,0.557343082366,0.644845121759,0.618848809542
False,none,none,linear,linear,odd,even,False,390,0.62533709305,0.512567002456,0.63489044041,0.610296701804
False,none,none,linear,linear,odd,even,False,400,0.62533709305,0.483182155902,0.57461154322,0.569179140944
False,none,none,linear,linear,odd,even,False,410,0.62533709305,0.330926221267,0.475893016051,0.521118258158
False,none,none,linear,linear,odd,even,False,420,0.62533709305,0.201698387332,0.360638451374,0.446335251896
False,none,none,linear,linear,odd,even,True,350,0.611089484211,0.548907748765,0.629645598967,0.588963703346
False,none,none,linear,linear,odd,even,True,360,0.611089484211,0.548617089476,0.6352194079,0.58954323595
False,none,none,linear,linear,odd,even,True,370,0.611089484211,0.567889482976,0.638359567795,0.598141140626
False,none,none,linear,linear,odd,even,True,380,0.611089484211,0.564618056082,0.653197518433,0.614543573825
False,none,none,linear,linear,odd,even,True,390,0.611089484211,0.515795593255,0.642430194903,0.605009690417
False,none,none,linear,linear,odd,even,True,400,0.611089484211,0.48195179321,0.580285146507,0.564080744037
False,none,none,linear,linear,odd,even,True,410,0.611089484211,0.327586168567,0.47961698597,0.517723266378
False,none,none,linear,linear,odd,even,True,420,0.611089484211,0.197301425691,0.362625851481,0.442177195754
False,none,none,linear,linear,odd,odd,False,350,0.610804758156,0.541629960576,0.61943898726,0.583262073658
False,none,none,linear,linear,odd,odd,False,360,0.610804758156,0.54126108137,0.625396772081,0.584514101405
False,none,none,linear,linear,odd,odd,False,370,0.610804758156,0.559485633404,0.628757654649,0.593639553917
False,none,none,linear,linear,odd,odd,False,380,0.610804758156,0.556047249943,0.643744688223,0.610669184387
False,none,none,linear,linear,odd,odd,False,390,0.610804758156,0.511381082816,0.634094759478,0.602560973062
False,none,none,linear,linear,odd,odd,False,400,0.610804758156,0.481916699939,0.574127144833,0.562232268473
False,none,none,linear,linear,odd,odd,False,410,0.610804758156,0.329733800211,0.476060964498,0.515387595939
False,none,none,linear,linear,odd,odd,False,420,0.610804758156,0.199746494782,0.360836096399,0.441813735234
False,none,none,linear,linear,odd,odd,True,350,0.596862327095,0.547694360021,0.628249037321,0.580822857791
False,none,none,linear,linear,odd,odd,True,360,0.596862327095,0.547488427837,0.634028485374,0.581581436393
False,none,none,linear,linear,odd,odd,True,370,0.596862327095,0.566663108887,0.637084724714,0.590058417646
False,none,none,linear,linear,odd,odd,True,380,0.596862327095,0.563304581417,0.652070605185,0.606413406374
False,none,none,linear,linear,odd,odd,True,390,0.596862327095,0.514605897937,0.641612831017,0.597334946861
False,none,none,linear,linear,odd,odd,True,400,0.596862327095,0.48068354224,0.579779682303,0.557190194996
False,none,none,linear,linear,odd,odd,True,410,0.596862327095,0.326399508699,0.47976926793,0.512022945661
False,none,none,linear,linear,odd,odd,True,420,0.596862327095,0.195365663167,0.362802136577,0.437687220083
False,none,none,linear,slinear,none,none,False,350,0.616531612573,0.544903053679,0.622782631247,0.588686567545
False,none,none,linear,slinear,none,none,False,360,0.616531612573,0.544402951482,0.628552840263,0.58974882201
False,none,none,linear,slinear,none,none,False,370,0.616531612573,0.562818423735,0.632046550499,0.599000084547
False,none,none,linear,slinear,none,none,False,380,0.616531612573,0.559421476797,0.647043043368,0.616100404451
False,none,none,linear,slinear,none,none,False,390,0.616531612573,0.514496239559,0.637187603247,0.607727055337
False,none,none,linear,slinear,none,none,False,400,0.616531612573,0.484936960052,0.576770743017,0.566889304469
False,none,none,linear,slinear,none,none,False,410,0.616531612573,0.332105407434,0.477996098548,0.519317254943
False,none,none,linear,slinear,none,none,False,420,0.616531612573,0.202027662327,0.362379931549,0.445013787363
False,none,none,linear,slinear,none,none,True,350,0.602464950415,0.551011980813,0.631650358767,0.586234703723
False,none,none,linear,slinear,none,none,True,360,0.602464950415,0.550671947988,0.637239356695,0.586801166928
False,none,none,linear,slinear,none,none,True,370,0.602464950415,0.570043892517,0.640428090308,0.595396383734
False,none,none,linear,slinear,none,none,True,380,0.602464950415,0.566727403657,0.655422960977,0.611815667403
False,none,none,linear,slinear,none,none,True,390,0.602464950415,0.517742383437,0.644753548449,0.602464229396
False,none,none,linear,slinear,none,none,True,400,0.602464950415,0.483702460131,0.582462046719,0.561813590895
False,none,none,linear,slinear,none,none,True,410,0.602464950415,0.328754791149,0.481732907879,0.515935974208
False,none,none,linear,slinear,none,none,True,420,0.602464950415,0.197616160493,0.36437042139,0.440867304399
False,none,none,linear,slinear,none,even,False,350,0.62533709305,0.542825179831,0.620805443842,0.591426941645
False,none,none,linear,slinear,none,even,False,360,0.62533709305,0.542376172318,0.626558822147,0.592503179793
False,none,none,linear,slinear,none,even,False,370,0.62533709305,0.560695488673,0.630003882306,0.60176134475
False,none,none,linear,slinear,none,even,False,380,0.62533709305,0.557343082366,0.644845121759,0.618848809542
False,none,none,linear,slinear,none,even,False,390,0.62533709305,0.512567002456,0.63489044041,0.610296701804
False,none,none,linear,slinear,none,even,False,400,0.62533709305,0.483182155902,0.57461154322,0.569179140944
False,none,none,linear,slinear,none,even,False,410,0.62533709305,0.330926221267,0.475893016051,0.521118258158
False,none,none,linear,slinear,none,even,False,420,0.62533709305,0.201698387332,0.360638451374,0.446335251896
False,none,none,linear,slinear,none,even,True,350,0.611089484211,0.548907748765,0.629645598967,0.588963703346
False,none,none,linear,slinear,none,even,True,360,0.611089484211,0.548617089476,0.6352194079,0.58954323595
False,none,none,linear,slinear,none,even,True,370,0.611089484211,0.567889482976,0.638359567795,0.598141140626
False,none,none,linear,slinear,none,even,True,380,0.611089484211,0.564618056082,0.653197518433,0.614543573825
False,none,none,linear,slinear,none,even,True,390,0.611089484211,0.515795593255,0.642430194903,0.605009690417
False,none,none,linear,slinear,none,even,True,400,0.611089484211,0.48195179321,0.580285146507,0.564080744037
False,none,none,linear,slinear,none,even,True,410,0.611089484211,0.327586168567,0.47961698597,0.517723266378
False,none,none,linear,slinear,none,even,True,420,0.611089484211,0.197301425691,0.362625851481,0.442177195754
False,none,none,linear,slinear,none,odd,False,350,0.610804758156,0.541629960576,0.61943898726,0.583262073658
False,none,none,linear,slinear,none,odd,False,360,0.610804758156,0.54126108137,0.625396772081,0.584514101405
False,none,none,linear,slinear,none,odd,False,370,0.610804758156,0.559485633404,0.628757654649,0.593639553917
False,none,none,linear,slinear,none,odd,False,380,0.610804758156,0.556047249943,0.643744688223,0.610669184387
False,none,none,linear,slinear,none,odd,False,390,0.610804758156,0.511381082816,0.634094759478,0.602560973062
False,none,none,linear,slinear,none,odd,False,400,0.610804758156,0.481916699939,0.574127144833,0.562232268473
False,none,none,linear,slinear,none,odd,False,410,0.610804758156,0.329733800211,0.476060964498,0.515387595939
False,none,none,linear,slinear,none,odd,False,420,0.610804758156,0.199746494782,0.360836096399,0.441813735234
False,none,none,linear,slinear,none,odd,True,350,0.596862327095,0.547694360021,0.628249037321,0.580822857791
False,none,none,linear,slinear,none,odd,True,360,0.596862327095,0.547488427837,0.634028485374,0.581581436393
False,none,none,linear,slinear,none,odd,True,370,0.596862327095,0.566663108887,0.637084724714,0.590058417646
False,none,none,linear,slinear,none,odd,True,380,0.596862327095,0.563304581417,0.652070605185,0.606413406374
False,none,none,linear,slinear,none,odd,True,390,0.596862327095,0.514605897937,0.641612831017,0.597334946861
False,none,none,linear,slinear,none,odd,True,400,0.596862327095,0.48068354224,0.579779682303,0.557190194996
False,none,none,linear,slinear,none,odd,True,410,0.596862327095,0.326399508699,0.47976926793,0.512022945661
False,none,none,linear,slinear,none,odd,True,420,0.596862327095,0.195365663167,0.362802136577,0.437687220083
False,none,none,linear,slinear,even,none,False,350,0.616531612573,0.544903053679,0.622782631247,0.588686567545
False,none,none,linear,slinear,even,none,False,360,0.616531612573,0.544402951482,0.628552840263,0.58974882201
False,none,none,linear,slinear,even,none,False,370,0.616531612573,0.562818423735,0.632046550499,0.599000084547
False,none,none,linear,slinear,even,none,False,380,0.616531612573,0.559421476797,0.647043043368,0.616100404451
False,none,none,linear,slinear,even,none,False,390,0.616531612573,0.514496239559,0.637187603247,0.607727055337
False,none,none,linear,slinear,even,none,False,400,0.616531612573,0.484936960052,0.576770743017,0.566889304469
False,none,none,linear,slinear,even,none,False,410,0.616531612573,0.332105407434,0.477996098548,0.519317254943
False,none,none,linear,slinear,even,none,False,420,0.616531612573,0.202027662327,0.362379931549,0.445013787363
False,none,none,linear,slinear,even,none,True,350,0.602464950415,0.551011980813,0.631650358767,0.586234703723
False,none,none,linear,slinear,even,none,True,360,0.602464950415,0.550671947988,0.637239356695,0.586801166928
False,none,none,linear,slinear,even,none,True,370,0.602464950415,0.570043892517,0.640428090308,0.595396383734
False,none,none,linear,slinear,even,none,True,380,0.602464950415,0.566727403657,0.655422960977,0.611815667403
False,none,none,linear,slinear,even,none,True,390,0.602464950415,0.517742383437,0.644753548449,0.602464229396
False,none,none,linear,slinear,even,none,True,400,0.602464950415,0.483702460131,0.582462046719,0.561813590895
False,none,none,linear,slinear,even,none,True,410,0.602464950415,0.328754791149,0.481732907879,0.515935974208
False,none,none,linear,slinear,even,none,True,420,0.602464950415,0.197616160493,0.36437042139,0.440867304399
False,none,none,linear,slinear,even,even,False,350,0.62533709305,0.542825179831,0.620805443842,0.591426941645
False,none,none,linear,slinear,even,even,False,360,0.62533709305,0.542376172318,0.626558822147,0.592503179793
False,none,none,linear,slinear,even,even,False,370,0.62533709305,0.560695488673,0.630003882306,0.60176134475
False,none,none,linear,slinear,even,even,False,380,0.62533709305,0.557343082366,0.644845121759,0.618848809542
False,none,none,linear,slinear,even,even,False,390,0.62533709305,0.512567002456,0.63489044041,0.610296701804
False,none,none,linear,slinear,even,even,False,400,0.62533709305,0.483182155902,0.57461154322,0.569179140944
False,none,none,linear,slinear,even,even,False,410,0.62533709305,0.330926221267,0.475893016051,0.521118258158
False,none,none,linear,slinear,even,even,False,420,0.62533709305,0.201698387332,0.360638451374,0.446335251896
False,none,none,linear,slinear,even,even,True,350,0.611089484211,0.548907748765,0.629645598967,0.588963703346
False,none,none,linear,slinear,even,even,True,360,0.611089484211,0.548617089476,0.6352194079,0.58954323595
False,none,none,linear,slinear,even,even,True,370,0.611089484211,0.567889482976,0.638359567795,0.598141140626
False,none,none,linear,slinear,even,even,True,380,0.611089484211,0.564618056082,0.653197518433,0.614543573825
False,none,none,linear,slinear,even,even,True,390,0.611089484211,0.515795593255,0.642430194903,0.605009690417
False,none,none,linear,slinear,even,even,True,400,0.611089484211,0.48195179321,0.580285146507,0.564080744037
False,none,none,linear,slinear,even,even,True,410,0.611089484211,0.327586168567,0.47961698597,0.517723266378
False,none,none,linear,slinear,even,even,True,420,0.611089484211,0.197301425691,0.362625851481,0.442177195754
False,none,none,linear,slinear,even,odd,False,350,0.610804758156,0.541629960576,0.61943898726,0.583262073658
False,none,none,linear,slinear,even,odd,False,360,0.610804758156,0.54126108137,0.625396772081,0.584514101405
False,none,none,linear,slinear,even,odd,False,370,0.610804758156,0.559485633404,0.628757654649,0.593639553917
False,none,none,linear,slinear,even,odd,False,380,0.610804758156,0.556047249943,0.643744688223,0.610669184387
False,none,none,linear,slinear,even,odd,False,390,0.610804758156,0.511381082816,0.634094759478,0.602560973062
False,none,none,linear,slinear,even,odd,False,400,0.610804758156,0.481916699939,0.574127144833,0.562232268473
False,none,none,linear,slinear,even,odd,False,410,0.610804758156,0.329733800211,0.476060964498,0.515387595939
False,none,none,linear,slinear,even,odd,False,420,0.610804758156,0.199746494782,0.360836096399,0.441813735234
False,none,none,linear,slinear,even,odd,True,350,0.596862327095,0.547694360021,0.628249037321,0.580822857791
False,none,none,linear,slinear,even,odd,True,360,0.596862327095,0.547488427837,0.634028485374,0.581581436393
False,none,none,linear,slinear,even,odd,True,370,0.596862327095,0.566663108887,0.637084724714,0.590058417646
False,none,none,linear,slinear,even,odd,True,380,0.596862327095,0.563304581417,0.652070605185,0.606413406374
False,none,none,linear,slinear,even,odd,True,390,0.596862327095,0.514605897937,0.641612831017,0.597334946861
False,none,none,linear,slinear,even,odd,True,400,0.596862327095,0.48068354224,0.579779682303,0.557190194996
False,none,none,linear,slinear,even,odd,True,410,0.596862327095,0.326399508699,0.47976926793,0.512022945661
False,none,none,linear,slinear,even,odd,True,420,0.596862327095,0.195365663167,0.362802136577,0.437687220083
False,none,none,linear,slinear,odd,none,False,350,0.616531612573,0.544903053679,0.622782631247,0.588686567545
False,none,none,linear,slinear,odd,none,False,360,0.616531612573,0.544402951482,0.628552840263,0.58974882201
False,none,none,linear,slinear,odd,none,False,370,0.616531612573,0.562818423735,0.632046550499,0.599000084547
False,none,none,linear,slinear,odd,none,False,380,0.616531612573,0.559421476797,0.647043043368,0.616100404451
False,none,none,linear,slinear,odd,none,False,390,0.616531612573,0.514496239559,0.637187603247,0.607727055337
False,none,none,linear,slinear,odd,none,False,400,0.616531612573,0.484936960052,0.576770743017,0.566889304469
False,none,none,linear,slinear,odd,none,False,410,0.616531612573,0.332105407434,0.477996098548,0.519317254943
False,none,none,linear,slinear,odd,none,False,420,0.616531612573,0.202027662327,0.362379931549,0.445013787363
False,none,none,linear,slinear,odd,none,True,350,0.602464950415,0.551011980813,0.631650358767,0.586234703723
False,none,none,linear,slinear,odd,none,True,360,0.602464950415,0.550671947988,0.637239356695,0.586801166928
False,none,none,linear,slinear,odd,none,True,370,0.602464950415,0.570043892517,0.640428090308,0.595396383734
False,none,none,linear,slinear,odd,none,True,380,0.602464950415,0.566727403657,0.655422960977,0.611815667403
False,none,none,linear,slinear,odd,none,True,390,0.602464950415,0.517742383437,0.644753548449,0.602464229396
False,none,none,linear,slinear,odd,none,True,400,0.602464950415,0.483702460131,0.582462046719,0.561813590895
False,none,none,linear,slinear,odd,none,True,410,0.602464950415,0.328754791149,0.481732907879,0.515935974208
False,none,none,linear,slinear,odd,none,True,420,0.602464950415,0.197616160493,0.36437042139,0.440867304399
False,none,none,linear,slinear,odd,even,False,350,0.62533709305,0.542825179831,0.620805443842,0.591426941645
False,none,none,linear,slinear,odd,even,False,360,0.62533709305,0.542376172318,0.626558822147,0.592503179793
False,none,none,linear,slinear,odd,even,False,370,0.62533709305,0.560695488673,0.630003882306,0.60176134475
False,none,none,linear,slinear,odd,even,False,380,0.62533709305,0.557343082366,0.644845121759,0.618848809542
False,none,none,linear,slinear,odd,even,False,390,0.62533709305,0.512567002456,0.63489044041,0.610296701804
False,none,none,linear,slinear,odd,even,False,400,0.62533709305,0.483182155902,0.57461154322,0.569179140944
False,none,none,linear,slinear,odd,even,False,410,0.62533709305,0.330926221267,0.475893016051,0.521118258158
False,none,none,linear,slinear,odd,even,False,420,0.62533709305,0.201698387332,0.360638451374,0.446335251896
False,none,none,linear,slinear,odd,even,True,350,0.611089484211,0.548907748765,0.629645598967,0.588963703346
False,none,none,linear,slinear,odd,even,True,360,0.611089484211,0.548617089476,0.6352194079,0.58954323595
False,none,none,linear,slinear,odd,even,True,370,0.611089484211,0.567889482976,0.638359567795,0.598141140626
False,none,none,linear,slinear,odd,even,True,380,0.611089484211,0.564618056082,0.653197518433,0.614543573825
False,none,none,linear,slinear,odd,even,True,390,0.611089484211,0.515795593255,0.642430194903,0.605009690417
False,none,none,linear,slinear,odd,even,True,400,0.611089484211,0.48195179321,0.580285146507,0.564080744037
False,none,none,linear,slinear,odd,even,True,410,0.611089484211,0.327586168567,0.47961698597,0.517723266378
False,none,none,linear,slinear,odd,even,True,420,0.611089484211,0.197301425691,0.362625851481,0.442177195754
False,none,none,linear,slinear,odd,odd,False,350,0.610804758156,0.541629960576,0.61943898726,0.583262073658
False,none,none,linear,slinear,odd,odd,False,360,0.610804758156,0.54126108137,0.625396772081,0.584514101405
False,none,none,linear,slinear,odd,odd,False,370,0.610804758156,0.559485633404,0.628757654649,0.593639553917
False,none,none,linear,slinear,odd,odd,False,380,0.610804758156,0.556047249943,0.643744688223,0.610669184387
False,none,none,linear,slinear,odd,odd,False,390,0.610804758156,0.511381082816,0.634094759478,0.602560973062
False,none,none,linear,slinear,odd,odd,False,400,0.610804758156,0.481916699939,0.574127144833,0.562232268473
False,none,none,linear,slinear,odd,odd,False,410,0.610804758156,0.329733800211,0.476060964498,0.515387595939
False,none,none,linear,slinear,odd,odd,False,420,0.610804758156,0.199746494782,0.360836096399,0.441813735234
False,none,none,linear,slinear,odd,odd,True,350,0.596862327095,0.547694360021,0.628249037321,0.580822857791
